id,customer_state,customer_account_duration,customer_area_code,has_international_plan,has_voice_mail_plan,voice_mail_message_count,daytime_total_minutes,daytime_total_calls,daytime_total_charges,evening_total_minutes,evening_total_calls,evening_total_charges,nighttime_total_minutes,nighttime_total_calls,nighttime_total_charges,intl_total_minutes,intl_total_calls,intl_total_charges,customer_service_call_count,churn
2414,DC,121.0,area_408,no,False,,161.9,121.0,29.47,166.9,94.0,14.73,96.2,,4.41,12.3,,3.32,1.0,0
2415,AR,,area_code_415,No,,0.0,,102.0,,455.7,,38.11,99.2,93.0,,11.9,8.0,,2.0,0
2416,VA,,area_415,FALSE,False,0.0,401.0,121.0,63.18,212.9,87.0,16.92,422.9,91.0,17.15,11.8,4.0,3.19,,0
2417,WI,120.0,408,0,True,26.0,247.3,94.0,40.65,267.5,88.0,22.02,240.3,,10.7,7.7,,2.08,3.0,0
2418,IN,91.0,,0,False,,283.8,73.0,44.78,170.4,,13.91,,94.0,,6.4,7.0,1.73,1.0,1
2419,IA,105.0,,,True,,,125.0,15.25,384.5,142.0,34.61,268.6,,12.37,9.7,1.0,2.62,,0
2420,OR,117.0,,0,True,38.0,265.0,94.0,41.92,,,19.85,265.9,,11.52,9.2,1.0,2.48,,0
2421,UNKNOWN,135.0,area_code_510,No,False,,478.1,,,278.9,74.0,23.71,309.6,154.0,13.83,,,2.19,,0
2422,ME,28.0,area_415,,False,0.0,268.5,102.0,45.82,160.2,87.0,14.14,285.7,115.0,12.56,,3.0,2.62,3.0,0
2423,VT,68.0,415,No,False,0.0,,119.0,,218.7,105.0,16.92,200.4,,,10.3,3.0,2.78,,0
2424,IN,,area_code_510,0,True,42.0,105.9,79.0,15.77,217.8,97.0,17.26,,77.0,,12.9,2.0,3.48,0.0,0
2425,KY,124.0,,No,False,0.0,634.6,103.0,,243.9,116.0,22.46,224.2,,11.23,11.9,5.0,3.21,0.0,0
2426,AK,86.0,408,false,False,,151.0,85.0,26.93,490.7,88.0,46.21,249.1,104.0,11.68,12.5,1.0,,1.0,0
2427,WY,53.0,area_code_415,No,,27.0,,119.0,4.64,205.7,96.0,18.53,,,,,7.0,1.76,,0
2428,UNKNOWN,108.0,area_code_415,NO,False,,233.8,105.0,35.48,111.9,107.0,8.66,,87.0,,12.1,3.0,3.27,2.0,0
2429,WV,92.0,415,FALSE,,47.0,,,25.4,200.7,,,,95.0,,10.2,11.0,,0.0,0
2430,UNKNOWN,78.0,,0,True,,,88.0,20.72,356.1,75.0,31.0,,118.0,4.09,13.0,4.0,3.51,3.0,0
2431,UNKNOWN,72.0,415,True,False,0.0,96.1,,16.16,,70.0,19.19,329.4,,14.12,11.1,6.0,3.0,3.0,0
2432,TX,,area_code_408,YES,False,0.0,,97.0,36.77,516.0,,42.91,212.2,154.0,9.47,8.4,4.0,2.27,3.0,0
2433,SD,,area_code_510,,False,0.0,90.3,108.0,17.07,279.5,100.0,23.93,202.8,79.0,9.78,,3.0,1.97,,0
2434,NY,,area_code_415,FALSE,False,0.0,,85.0,30.13,242.3,95.0,,175.5,,8.07,5.9,3.0,1.59,6.0,0
2435,CT,120.0,area_408,True,False,0.0,,123.0,34.51,189.5,78.0,15.75,172.2,89.0,7.96,,2.0,2.0,2.0,1
2436,WY,67.0,area_510,no,False,,248.1,96.0,46.45,,114.0,26.42,462.2,75.0,22.17,10.2,4.0,2.75,1.0,1
2437,TX,217.0,408,False,False,0.0,,115.0,29.24,,128.0,13.16,303.3,107.0,13.46,9.3,3.0,2.51,4.0,0
2438,AL,,,false,False,0.0,198.1,119.0,31.94,157.6,70.0,,183.5,,,14.0,6.0,,0.0,0
2439,UNKNOWN,122.0,area_code_415,No,False,0.0,,120.0,21.89,344.7,128.0,,,,7.77,11.2,5.0,3.02,,0
2440,UNKNOWN,7.0,area_code_510,0,True,33.0,206.8,99.0,39.48,178.4,110.0,,,125.0,21.93,11.2,4.0,,2.0,0
2441,AL,151.0,,False,True,,,112.0,27.95,465.7,,38.53,157.9,95.0,7.16,5.5,2.0,,,0
2442,GA,27.0,,,True,32.0,185.9,97.0,35.18,,77.0,25.79,134.1,,6.55,8.4,3.0,,2.0,0
2443,VT,,area_code_510,false,False,0.0,224.0,109.0,35.76,233.2,68.0,,465.3,111.0,,8.8,8.0,,1.0,0
2444,UNKNOWN,118.0,area_code_415,0,False,0.0,495.7,113.0,74.53,131.4,,9.93,193.8,79.0,7.9,14.9,4.0,4.02,3.0,0
2445,WY,101.0,,False,True,,240.5,103.0,,266.3,78.0,25.17,213.2,69.0,10.11,10.4,5.0,2.81,2.0,0
2446,SC,92.0,area_510,No,False,0.0,325.0,103.0,48.89,264.2,97.0,20.82,133.4,,5.41,11.2,,,0.0,0
2447,UNKNOWN,,415,FALSE,False,0.0,300.3,104.0,,84.6,71.0,8.03,169.9,93.0,8.22,12.5,4.0,3.38,1.0,0
2448,WY,,408,FALSE,False,,296.1,,54.09,269.2,111.0,24.15,147.7,95.0,,14.4,5.0,3.89,0.0,1
2449,UNKNOWN,65.0,area_code_408,NO,False,,,119.0,23.79,231.8,119.0,20.11,154.3,83.0,7.44,11.1,7.0,3.0,1.0,0
2450,KY,98.0,area_code_415,FALSE,,0.0,194.3,113.0,35.38,261.7,111.0,25.3,218.5,96.0,10.8,13.0,5.0,3.51,,0
2451,KY,86.0,area_code_408,FALSE,False,0.0,140.9,95.0,25.93,,82.0,,358.8,120.0,17.54,11.8,5.0,3.19,2.0,0
2452,MT,108.0,area_code_415,0,False,0.0,102.8,128.0,18.75,,97.0,28.08,,,7.93,9.3,,2.51,,0
2453,UNKNOWN,,area_408,0,,,263.2,,47.18,216.7,82.0,18.23,206.2,,,13.1,,3.54,2.0,1
2454,UNKNOWN,91.0,,,,,149.2,123.0,27.73,,127.0,12.78,171.7,76.0,8.23,10.3,15.0,2.78,1.0,1
2455,UNKNOWN,81.0,510,False,False,,315.3,59.0,51.46,282.0,131.0,,181.8,121.0,,9.2,4.0,2.48,2.0,0
2456,LA,,area_415,NO,False,0.0,,128.0,79.24,,101.0,,111.4,,4.92,14.2,,3.83,6.0,0
2457,UNKNOWN,80.0,,FALSE,False,0.0,,,48.84,215.5,80.0,19.74,392.8,96.0,19.54,9.2,6.0,2.48,2.0,0
2458,UNKNOWN,,area_code_510,YES,False,0.0,,104.0,8.33,183.1,114.0,16.64,,95.0,7.94,9.6,4.0,2.59,,1
2459,ND,,area_415,,True,,122.7,97.0,19.77,450.7,118.0,36.8,235.9,97.0,,12.0,2.0,3.24,,0
2460,FL,130.0,area_code_415,0,False,0.0,216.2,70.0,32.6,206.3,115.0,15.75,190.1,,8.09,12.4,2.0,3.35,,0
2461,NY,99.0,area_code_415,0,False,0.0,140.5,102.0,25.16,,87.0,,184.6,86.0,8.31,11.4,7.0,3.08,,0
2462,AL,98.0,area_code_510,0,False,0.0,326.6,,53.35,244.6,,19.76,139.9,125.0,6.23,,4.0,3.94,,0
2463,LA,123.0,area_code_510,0,,32.0,202.9,77.0,35.31,258.0,78.0,20.92,207.7,85.0,9.19,6.6,2.0,1.78,,0
2464,OK,44.0,,False,False,0.0,278.7,86.0,46.98,368.5,87.0,28.71,403.2,106.0,17.22,,2.0,2.57,0.0,1
2465,IN,94.0,area_408,False,False,0.0,167.7,105.0,,,101.0,12.0,,84.0,7.77,,5.0,2.16,,1
2466,CA,82.0,415,0,False,,189.5,,37.24,300.2,120.0,,252.2,117.0,,7.0,10.0,1.89,,0
2467,NE,77.0,,No,False,0.0,172.5,,28.16,412.8,144.0,35.21,234.5,89.0,10.31,,7.0,0.54,,0
2468,MT,51.0,area_415,,True,26.0,484.0,,79.24,,97.0,41.65,185.1,91.0,8.28,11.2,8.0,3.02,1.0,0
2469,NJ,172.0,,No,False,0.0,305.5,123.0,45.94,445.3,77.0,34.42,160.6,96.0,,11.3,5.0,3.05,3.0,1
2470,NY,171.0,area_code_415,NO,False,0.0,139.4,110.0,,,109.0,17.12,293.1,131.0,13.39,13.3,5.0,3.59,,0
2471,NE,112.0,area_code_415,1,False,0.0,327.0,123.0,55.74,145.9,124.0,11.79,138.9,,,7.9,6.0,2.13,1.0,0
2472,UNKNOWN,68.0,area_code_415,0,False,0.0,99.1,93.0,15.81,,80.0,27.67,213.0,85.0,,10.1,,2.73,0.0,0
2473,IA,80.0,area_408,False,True,,,142.0,31.64,,111.0,19.84,315.6,85.0,14.37,,2.0,3.05,,0
2474,VA,162.0,510,no,,0.0,101.8,93.0,15.85,,87.0,16.16,,118.0,,,6.0,3.08,1.0,0
2475,NY,156.0,,No,,0.0,481.8,95.0,80.32,192.6,128.0,16.13,261.6,105.0,,12.9,5.0,3.48,,0
2476,MS,190.0,,1,False,0.0,105.9,,18.79,214.9,124.0,18.73,247.8,81.0,10.81,10.0,,,,0
2477,VA,127.0,area_code_408,False,True,,223.8,91.0,35.2,,64.0,18.86,302.7,99.0,12.19,,3.0,1.3,0.0,0
2478,KS,132.0,415,0,False,0.0,,105.0,34.69,174.4,116.0,16.63,283.1,,13.51,13.0,2.0,3.51,1.0,0
2479,AK,109.0,area_415,false,True,,155.3,110.0,,169.0,99.0,14.39,230.0,,,11.5,13.0,3.11,0.0,0
2480,MI,115.0,area_code_415,False,True,,154.6,110.0,28.11,236.9,133.0,,260.8,100.0,12.54,,4.0,1.22,0.0,0
2481,MT,,415,,False,0.0,,,,245.8,88.0,21.05,210.9,,9.77,10.3,6.0,2.78,0.0,0
2482,HI,72.0,area_code_415,,False,0.0,,,18.9,111.0,96.0,10.01,300.2,,,8.3,6.0,2.24,0.0,0
2483,WV,48.0,408,false,False,0.0,277.4,67.0,,419.3,,,157.9,110.0,7.54,7.9,,2.13,1.0,0
2484,CO,125.0,area_415,False,False,0.0,,,42.56,144.6,100.0,12.36,312.7,119.0,14.76,7.7,,2.08,,0
2485,TN,120.0,area_code_408,true,,0.0,180.8,72.0,29.93,163.8,98.0,,190.4,89.0,8.4,13.8,2.0,3.73,,1
2486,UNKNOWN,92.0,area_415,false,False,0.0,177.4,,30.16,157.9,98.0,13.67,308.0,,13.69,10.9,4.0,2.94,,0
2487,WV,,area_code_415,1,False,0.0,183.0,89.0,31.72,190.7,89.0,17.58,234.3,151.0,11.05,,5.0,3.54,1.0,1
2488,UNKNOWN,110.0,area_code_510,,False,0.0,333.2,100.0,55.89,158.6,,13.29,110.4,104.0,4.76,6.3,4.0,1.7,5.0,0
2489,KS,,,FALSE,True,43.0,430.0,94.0,82.65,,105.0,35.42,194.3,91.0,9.2,8.5,2.0,2.3,,0
2490,PA,69.0,area_code_415,no,False,0.0,,70.0,81.48,253.6,80.0,,143.9,60.0,,10.7,,,3.0,0
2491,OH,,,No,False,,352.6,98.0,61.99,,107.0,20.57,251.3,96.0,11.11,10.2,2.0,,2.0,0
2492,AR,110.0,area_code_408,,False,0.0,,102.0,9.43,174.4,,14.04,201.5,,9.06,10.2,5.0,2.75,1.0,0
2493,TX,46.0,area_code_415,No,False,0.0,225.6,117.0,38.24,184.6,84.0,15.44,183.2,109.0,8.0,,4.0,2.48,,0
2494,NE,,,0,False,0.0,409.9,104.0,71.39,434.0,131.0,,231.6,,10.15,17.3,4.0,4.67,1.0,1
2495,ID,153.0,area_code_415,No,True,22.0,167.6,104.0,26.82,256.7,91.0,,201.2,117.0,8.64,7.5,11.0,,,0
2496,OH,,area_code_408,0,,,287.7,,46.67,152.3,121.0,13.69,191.1,123.0,8.75,,4.0,2.48,2.0,0
2497,UNKNOWN,21.0,area_code_510,,False,0.0,196.3,105.0,36.51,217.6,88.0,19.06,172.5,,8.29,9.6,2.0,,3.0,0
2498,IN,,area_code_415,no,False,0.0,163.3,114.0,,230.4,103.0,18.61,,,19.12,11.3,4.0,3.05,,0
2499,HI,,area_code_408,False,False,,340.0,121.0,58.07,194.9,68.0,17.28,,,,11.7,10.0,3.16,3.0,0
2500,KY,105.0,,no,True,24.0,286.6,99.0,51.2,184.6,118.0,,304.1,,14.78,10.8,3.0,2.92,3.0,0
2501,NJ,182.0,,false,False,,281.7,,44.14,190.3,108.0,14.27,216.1,104.0,9.11,9.5,11.0,2.57,2.0,1
2502,TX,97.0,area_510,,False,0.0,,91.0,23.9,219.6,137.0,18.79,,72.0,17.55,13.8,,,5.0,0
2503,NY,112.0,area_code_510,0,False,0.0,,73.0,,220.0,136.0,19.7,268.3,96.0,12.32,,,,,0
2504,HI,57.0,area_code_415,No,False,0.0,340.9,,56.03,,80.0,,,112.0,4.82,,1.0,,0.0,0
2505,WA,90.0,area_code_415,True,False,0.0,376.5,96.0,62.52,216.2,111.0,17.74,,97.0,5.72,9.2,1.0,,4.0,1
2506,ME,70.0,area_code_415,FALSE,False,0.0,177.4,48.0,28.64,231.9,62.0,,425.3,105.0,18.92,10.7,,,3.0,0
2507,IN,100.0,area_code_510,No,,0.0,215.2,107.0,33.46,,84.0,16.69,139.0,,5.67,,3.0,2.75,0.0,0
2508,IA,,area_code_510,no,True,23.0,123.5,93.0,21.41,134.9,74.0,,,,7.99,10.6,2.0,2.86,1.0,0
2509,KY,129.0,area_code_415,0,False,0.0,125.4,94.0,24.26,,126.0,18.19,193.4,,9.65,7.6,5.0,2.05,2.0,0
2510,MS,29.0,,0,False,0.0,304.6,103.0,52.6,324.9,151.0,27.67,214.7,106.0,,12.8,4.0,3.46,2.0,1
2511,WA,,area_code_510,0,,,136.0,107.0,21.48,,117.0,18.03,,85.0,7.69,10.2,13.0,2.75,2.0,0
2512,WY,25.0,area_code_408,FALSE,False,0.0,,80.0,35.74,,84.0,11.05,80.6,77.0,3.91,9.6,4.0,2.59,2.0,0
2513,CT,,area_code_408,,True,,,108.0,31.89,349.5,,28.62,245.2,119.0,11.05,16.5,4.0,,1.0,0
2514,IA,93.0,area_code_408,No,False,0.0,188.4,,34.28,250.1,95.0,20.43,125.0,,,12.6,4.0,3.4,,0
2515,UNKNOWN,,area_code_415,NO,False,0.0,178.0,98.0,29.88,215.7,125.0,17.49,140.9,116.0,6.04,18.4,3.0,,,0
2516,IN,81.0,area_code_415,0,False,,,,27.26,156.6,80.0,12.54,,83.0,,11.9,4.0,3.21,,0
2517,FL,106.0,408,NO,True,32.0,440.7,126.0,71.28,220.0,93.0,17.03,172.3,,,14.1,8.0,3.81,4.0,0
2518,OR,,area_code_415,1,True,28.0,209.3,,34.14,328.7,98.0,25.26,174.5,118.0,,10.7,2.0,2.89,,1
2519,MS,144.0,area_code_415,0,True,26.0,182.3,94.0,29.75,198.5,85.0,17.3,251.2,95.0,11.33,6.6,,,5.0,0
2520,UNKNOWN,137.0,,False,False,0.0,,81.0,26.41,133.3,94.0,11.3,248.5,77.0,11.38,9.1,2.0,2.46,1.0,0
2521,NY,98.0,408,No,False,0.0,174.8,99.0,29.68,184.0,87.0,15.11,,130.0,19.32,7.8,6.0,,1.0,0
2522,WA,124.0,area_408,No,False,0.0,281.8,108.0,45.55,256.4,89.0,19.84,255.0,96.0,,,1.0,2.78,7.0,1
2523,UT,164.0,area_code_510,False,False,0.0,191.9,95.0,,,94.0,23.04,129.8,,6.48,7.3,3.0,1.97,3.0,0
2524,LA,,area_code_415,false,False,,,128.0,31.69,202.0,103.0,,,63.0,5.75,13.8,5.0,3.73,0.0,0
2525,DE,,area_code_415,0,True,31.0,276.1,121.0,,408.2,104.0,37.89,423.2,120.0,20.0,7.0,5.0,,3.0,0
2526,UNKNOWN,110.0,,,False,,153.9,106.0,23.5,,126.0,24.58,545.2,112.0,21.85,11.2,8.0,3.02,3.0,0
2527,GA,120.0,,False,False,,100.8,99.0,18.15,183.3,85.0,17.26,270.4,96.0,13.05,,,,2.0,0
2528,NH,88.0,area_code_415,FALSE,False,0.0,211.4,86.0,31.99,208.4,93.0,17.16,243.9,99.0,,,2.0,3.19,2.0,0
2529,SC,19.0,area_code_510,0,False,0.0,256.6,,39.92,460.1,109.0,33.5,178.5,130.0,7.14,9.5,3.0,2.57,,1
2530,MI,216.0,,No,False,0.0,206.7,106.0,38.45,182.9,71.0,17.3,226.5,,10.78,9.4,8.0,2.54,7.0,0
2531,TN,,area_code_510,0,False,0.0,97.4,,17.16,267.7,129.0,,,92.0,6.22,11.2,,3.02,,0
2532,IN,,,0,True,42.0,212.8,82.0,32.38,153.6,74.0,12.36,183.3,100.0,7.44,,3.0,2.57,,0
2533,CT,,area_code_408,0,False,0.0,163.0,91.0,26.62,102.1,85.0,,117.4,125.0,5.3,8.6,3.0,2.32,2.0,0
2534,ME,66.0,408,NO,True,26.0,,108.0,43.16,233.3,,20.59,190.4,95.0,8.56,5.4,3.0,,2.0,0
2535,AK,103.0,510,No,False,0.0,180.4,62.0,34.08,228.0,53.0,,228.2,96.0,10.87,7.8,3.0,2.11,,0
2536,FL,,area_510,no,False,0.0,268.8,,,,90.0,18.94,,90.0,5.0,11.6,5.0,3.13,1.0,1
2537,KS,57.0,area_code_415,No,False,0.0,154.1,117.0,28.85,113.2,149.0,10.51,185.4,92.0,8.81,11.8,7.0,3.19,0.0,0
2538,VT,50.0,area_415,Yes,True,,669.6,,102.44,281.3,78.0,23.12,,,7.4,,3.0,2.16,0.0,0
2539,MA,58.0,area_code_415,0,True,30.0,185.0,111.0,28.05,226.5,109.0,18.64,425.2,118.0,,8.4,,2.27,,0
2540,UNKNOWN,88.0,area_code_510,0,False,0.0,75.3,86.0,,,82.0,12.42,242.9,,9.76,8.2,,2.21,,1
2541,VA,,510,False,False,0.0,192.8,107.0,29.99,146.2,96.0,,384.3,,,11.6,6.0,3.13,1.0,0
2542,DE,87.0,area_code_415,NO,False,,174.4,,31.7,242.9,105.0,22.27,203.7,87.0,9.52,,7.0,2.32,3.0,0
2543,MO,38.0,510,No,False,0.0,267.3,113.0,51.07,,82.0,21.45,,,,,,2.94,1.0,1
2544,WI,119.0,area_code_415,no,False,,37.0,102.0,6.35,,,20.97,192.6,100.0,8.63,,5.0,2.24,,0
2545,NC,114.0,area_code_408,,False,,184.5,101.0,32.68,250.9,81.0,,131.3,79.0,5.98,9.6,2.0,2.59,7.0,0
2546,CO,85.0,,no,True,,,110.0,84.06,241.8,,21.67,,,,6.3,1.0,1.7,,0
2547,MD,139.0,area_code_415,False,False,,97.5,76.0,16.48,,106.0,18.55,181.5,136.0,7.83,10.8,4.0,2.92,1.0,0
2548,ND,88.0,area_code_415,,False,0.0,166.5,92.0,25.27,170.9,108.0,,210.4,95.0,8.54,7.9,,2.13,2.0,0
2549,IL,103.0,,no,,,145.3,81.0,,,88.0,13.74,194.3,103.0,8.9,11.0,3.0,2.97,2.0,0
2550,NJ,,area_code_415,,False,0.0,187.3,125.0,30.31,435.8,100.0,35.35,215.5,87.0,8.86,12.5,,3.38,0.0,0
2551,UNKNOWN,142.0,area_415,False,True,22.0,,144.0,34.25,161.0,96.0,,184.4,114.0,8.27,,,3.0,5.0,0
2552,UNKNOWN,64.0,area_code_510,,False,,482.7,73.0,77.26,170.9,,,162.5,119.0,7.1,10.0,,2.7,1.0,0
2553,UNKNOWN,143.0,,False,True,,,130.0,77.36,178.9,114.0,16.12,205.5,111.0,,,6.0,,1.0,0
2554,VA,,area_code_510,0,False,0.0,61.1,68.0,9.59,232.2,114.0,17.05,,96.0,10.83,12.5,5.0,,1.0,0
2555,WY,127.0,area_code_510,YES,False,0.0,320.2,102.0,54.89,229.1,80.0,20.29,256.5,96.0,11.97,13.9,5.0,,,1
2556,LA,96.0,408,0,False,0.0,103.8,74.0,16.98,357.9,88.0,29.35,449.9,125.0,19.57,14.0,2.0,3.78,4.0,0
2557,UNKNOWN,69.0,area_code_510,False,,,,78.0,45.15,,,20.71,277.9,102.0,12.09,16.4,,4.43,,0
2558,WA,86.0,510,False,False,0.0,152.6,92.0,23.68,118.4,95.0,,266.7,96.0,11.56,9.0,,2.43,1.0,0
2559,WA,45.0,area_510,NO,False,0.0,,106.0,12.66,,,38.84,436.7,111.0,18.95,7.4,,,1.0,1
2560,CO,76.0,area_code_408,FALSE,True,26.0,208.8,110.0,38.82,208.5,87.0,18.56,,140.0,,8.1,2.0,2.19,1.0,0
2561,NV,183.0,area_415,0,False,0.0,113.8,92.0,21.56,207.6,112.0,19.75,215.8,112.0,10.48,,6.0,,,0
2562,IA,,area_code_510,0,False,0.0,189.3,,34.31,338.7,86.0,29.52,,96.0,8.63,12.5,3.0,3.38,,0
2563,VA,67.0,area_code_408,,False,0.0,172.4,120.0,27.03,450.0,138.0,35.2,149.7,104.0,6.19,10.6,4.0,2.86,,0
2564,OR,170.0,area_code_408,No,True,22.0,179.4,66.0,28.06,141.8,83.0,,157.6,93.0,,5.2,3.0,1.4,5.0,0
2565,AL,121.0,area_code_415,no,False,0.0,,128.0,,126.6,99.0,10.4,265.2,105.0,11.83,,7.0,,6.0,0
2566,TX,,area_code_415,1,False,0.0,568.9,78.0,92.64,312.8,,27.11,,,,,9.0,2.35,,1
2567,IN,129.0,area_code_415,0,False,,143.2,,,234.6,110.0,17.47,147.5,95.0,5.95,10.2,,2.75,1.0,1
2568,UNKNOWN,,area_code_415,NO,False,0.0,167.1,120.0,26.41,204.9,102.0,16.53,128.6,107.0,5.49,8.6,,2.32,3.0,0
2569,RI,,area_code_415,,,0.0,204.7,46.0,39.18,472.6,116.0,43.76,173.4,79.0,8.39,13.2,3.0,3.56,1.0,0
2570,TN,69.0,,,False,0.0,199.5,70.0,32.5,212.5,108.0,,257.7,119.0,,12.5,4.0,3.38,3.0,0
2571,AR,135.0,510,No,True,27.0,373.5,141.0,63.18,,99.0,13.13,248.0,112.0,,12.3,,3.32,4.0,0
2572,MO,160.0,area_code_415,0,False,0.0,,103.0,31.1,,121.0,22.12,179.0,92.0,8.57,13.0,3.0,,2.0,0
2573,NY,131.0,area_code_415,,False,0.0,271.6,,,174.7,89.0,15.56,225.2,,10.25,10.7,1.0,2.89,2.0,0
2574,UNKNOWN,126.0,area_415,No,False,0.0,,,34.98,,61.0,6.84,189.0,73.0,,11.1,1.0,3.0,,0
2575,ID,56.0,area_code_510,,False,0.0,,,24.13,359.6,87.0,28.23,169.3,115.0,7.1,,5.0,3.16,3.0,0
2576,UNKNOWN,118.0,,FALSE,False,,166.6,,24.6,52.3,92.0,4.08,128.1,119.0,,10.5,4.0,2.84,,0
2577,FL,85.0,area_code_408,False,True,33.0,,,32.72,223.1,88.0,18.38,218.8,,9.22,13.5,3.0,3.65,1.0,0
2578,AR,132.0,415,false,False,0.0,263.5,126.0,46.13,188.7,76.0,,159.7,108.0,7.05,8.4,3.0,2.27,1.0,0
2579,CA,96.0,area_code_415,No,False,0.0,553.4,88.0,102.23,109.0,86.0,10.2,192.0,78.0,9.41,16.6,7.0,4.48,2.0,0
2580,NY,,area_510,0,False,0.0,124.3,,21.45,213.6,131.0,,238.4,132.0,11.04,13.7,3.0,,,0
2581,UNKNOWN,71.0,510,0,False,0.0,235.0,82.0,37.23,,,,,,8.0,11.8,10.0,,,1
2582,WV,11.0,area_510,false,True,38.0,199.0,130.0,37.63,188.3,84.0,17.63,228.5,79.0,11.07,7.0,7.0,1.89,,0
2583,WA,13.0,area_code_510,False,True,25.0,183.8,65.0,28.44,449.3,96.0,35.05,271.1,128.0,11.37,,5.0,3.05,2.0,0
2584,AZ,106.0,area_408,No,False,0.0,,120.0,,144.4,104.0,12.44,194.8,,,11.2,3.0,3.02,,0
2585,NY,94.0,,,False,0.0,257.8,,42.03,,88.0,12.71,94.8,99.0,4.34,7.2,4.0,1.94,4.0,0
2586,RI,123.0,area_code_415,FALSE,True,27.0,,79.0,40.67,,78.0,,384.8,116.0,18.6,15.0,1.0,4.05,4.0,0
2587,NC,111.0,,False,False,,160.8,,,,87.0,18.43,268.0,107.0,,7.7,1.0,,0.0,0
2588,UNKNOWN,98.0,415,0,,,220.6,121.0,36.0,,73.0,25.15,199.5,71.0,8.65,12.4,2.0,3.35,0.0,1
2589,UNKNOWN,85.0,area_code_415,NO,False,0.0,,66.0,35.32,,76.0,,,82.0,9.85,11.2,7.0,3.02,,0
2590,OR,,area_code_415,0,False,0.0,288.4,77.0,48.5,126.3,87.0,10.02,219.4,92.0,,10.0,,2.7,0.0,0
2591,TX,130.0,area_code_408,False,False,0.0,,101.0,41.93,497.9,105.0,39.01,210.0,64.0,9.18,,5.0,,2.0,0
2592,WV,113.0,area_code_510,0,False,0.0,,88.0,13.01,,112.0,18.29,116.9,118.0,,,3.0,,,0
2593,MN,,510,no,False,0.0,79.1,123.0,12.77,211.7,108.0,16.42,209.7,,8.77,11.3,,3.05,,1
2594,MI,86.0,area_code_510,False,True,41.0,,,68.19,234.1,134.0,20.83,497.9,58.0,23.44,9.5,3.0,2.57,,0
2595,UNKNOWN,104.0,area_code_510,FALSE,True,15.0,118.6,99.0,21.17,195.3,,,210.2,95.0,9.38,8.0,,2.16,0.0,0
2596,ND,140.0,,NO,False,0.0,,115.0,38.28,526.8,101.0,42.32,227.3,112.0,9.58,7.5,6.0,2.03,1.0,1
2597,AR,49.0,area_code_408,Yes,True,32.0,,118.0,30.16,223.6,,19.36,,115.0,9.23,15.1,3.0,4.08,3.0,1
2598,ID,42.0,area_code_510,no,False,,403.4,138.0,63.04,392.8,,31.99,194.7,,8.24,12.4,9.0,,2.0,0
2599,NE,90.0,area_code_415,False,False,0.0,110.1,108.0,19.02,240.8,150.0,19.35,193.8,,8.71,8.9,,2.4,0.0,0
2600,OH,,,false,False,0.0,204.7,62.0,33.0,237.6,54.0,19.31,190.4,115.0,8.57,,4.0,4.13,6.0,0
2601,WI,107.0,area_code_510,NO,True,25.0,,91.0,42.21,121.7,115.0,10.13,191.2,,8.73,,1.0,3.24,1.0,0
2602,MD,,area_415,False,False,0.0,173.8,110.0,28.89,,81.0,12.67,,109.0,10.25,6.5,3.0,,,0
2603,NH,,area_415,0,False,0.0,,97.0,27.85,237.6,136.0,,190.7,,8.11,8.5,5.0,2.3,1.0,0
2604,NE,155.0,,,True,21.0,206.3,,32.56,203.1,84.0,17.78,87.0,111.0,3.88,,4.0,2.32,,0
2605,UNKNOWN,,area_415,0,False,0.0,149.1,88.0,23.0,262.3,99.0,21.14,,90.0,9.59,14.0,2.0,,2.0,0
2606,RI,42.0,area_408,No,False,0.0,,139.0,64.54,,91.0,52.51,182.1,91.0,8.84,11.7,4.0,3.16,,0
2607,NH,19.0,area_code_408,0,,0.0,,98.0,29.45,,57.0,,212.8,,,14.6,,3.94,2.0,0
2608,WI,107.0,area_code_408,FALSE,False,0.0,,104.0,22.75,318.7,94.0,,311.6,79.0,13.98,7.3,3.0,1.97,6.0,0
2609,WY,119.0,,0,False,,,95.0,21.79,233.3,81.0,20.72,161.4,103.0,7.77,13.8,4.0,3.73,2.0,0
2610,SD,88.0,415,NO,False,0.0,187.8,112.0,32.23,403.2,80.0,37.31,358.3,,17.06,7.9,4.0,2.13,1.0,0
2611,UNKNOWN,7.0,415,FALSE,False,0.0,,87.0,32.0,281.7,,21.75,,,6.49,,5.0,2.97,3.0,0
2612,HI,,area_code_408,FALSE,False,0.0,344.5,108.0,60.11,263.4,54.0,21.98,332.7,94.0,,11.6,6.0,3.13,1.0,0
2613,ME,67.0,area_code_415,NO,,0.0,,95.0,86.65,,81.0,,271.1,80.0,,11.7,6.0,3.16,,0
2614,UNKNOWN,162.0,area_code_415,,False,0.0,,89.0,57.6,,,18.18,,98.0,19.56,11.4,3.0,3.08,2.0,0
2615,UT,180.0,area_code_510,,False,,,69.0,46.84,177.1,138.0,17.0,338.5,83.0,16.28,,7.0,0.11,,0
2616,NY,104.0,area_code_415,,False,0.0,153.4,93.0,27.0,,54.0,16.69,227.3,,10.19,13.1,5.0,3.54,1.0,0
2617,MO,131.0,area_code_415,FALSE,False,0.0,,141.0,36.54,210.3,93.0,,221.2,132.0,10.45,,,3.11,1.0,0
